College,Conf,Coach,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pay,Total Pandemic Reduction,Asst Pay Total
University of California-Los Angeles,Pac-12,Brian Norwood,500000,0,500000,500000,0,4280800
Auburn University,SEC,Larry Porter,500000,0,500000,500000,0,6760000
Mississippi State University,SEC,Tony Hughes,500000,0,500000,500000,0,4300000
Auburn University,SEC,Jack Bicknell Jr.,500000,0,500000,500000,0,6760000
University of Florida,SEC,Greg Knox,496500,0,496500,496500,0,6300000
University of Florida,SEC,Tim Brewster,496500,0,496500,496500,0,6300000
Texas A & M College Station,SEC,Tommie Robinson,493270,0,493270,495770,0,7503197
Mississippi State University,SEC,Mason Miller,495000,0,495000,495000,0,4300000
University of Illinois at Urbana-Champaign,Big Ten,Keynodo Hudson,500000,5625,494375,494375,33750,4001675
Clemson University,ACC,Todd Bates,515000,25750,489250,491750,51500,7641500
University of Kentucky,SEC,John Schlarman,490000,0,490000,490000,0,5781100
Clemson University,ACC,Mickey Conn,515000,25750,489250,489250,51500,7641500
University of Mississippi,SEC,Randy Clements,500000,12500,487500,487500,12500,4753125
University of Missouri-Columbia,SEC,Marcus Johnson,500000,12500,487500,487500,12500,4840875
University of Colorado Boulder,Pac-12,Tyson Summers,500000,15625,484375,484575,25000,3319193
University of Nebraska-Lincoln,Big Ten,Matt Lubick,500000,16667,483333,483333,16667,4205000
University of Nebraska-Lincoln,Big Ten,Greg Austin,500000,16667,483333,483333,16667,4205000
Texas Tech University,Big 12,Derek Jones,500000,17292,482708,482708,41500,3564139
Michigan State University,Big Ten,Ted Gilmore,500000,20417,479583,479583,35000,5717438
Clemson University,ACC,Lemanski Hall,500000,25000,475000,477500,50000,7641500
University of Florida,SEC,David Turner,476500,0,476500,476500,0,6300000
